id,sn,placeholder_name,fn,category,sub_category,weight,stack_limit,tags,source,production_lines,spoilage,price_class,volatility,region_restrict
ore_copper_raw,粗铜矿石,暗红粗矿石,含有少量铜质成分的矿石,ore,non_ferrous,2.5,50,material;ore;craft;trade_raw,mining,forge;craft,none,material,mid,0
ore_iron_raw,铁质矿石,黑灰矿石,常见的铁质矿石,ore,black_metal,3.0,50,material;ore;craft;trade_raw;building,mining,forge;craft;build,none,material,low,0
ore_iron_sand_highcarbon,高碳铁砂,沉重黑砂,可用于炼制更锋利的兵器,ore,black_metal,0.5,200,material;ore;high_grade;forge_focus,mining,forge,none,rare,high,0
ore_spirit_crystal,灵息矿晶,微光碎块,似乎缓慢渗出肉眼难辨的灵光,ore,spirit,1.0,20,material;ore;enchant;dungeon_only,mining;dungeon,forge;enchant,none,rare,high,0
wood_bamboo_green,青竹杆,青竹一截,适合作为机关骨架或轻型杆身,wood,bamboo,1.0,50,material;wood;craft;build,logging,craft;build,none,material,low,0
wood_plank_soft,轻木板,浅色木板,重量较轻便于制作箱柜或简单建筑构件,wood,softwood,1.5,40,material;wood;craft;build,logging,craft;build,none,material,mid,0
herb_root_bitter,苦根草,带泥根茎,煮制后具有微弱的止痛与退热效果,herb,root,0.1,100,material;herb;alchemy;medical,gathering,alchemy,slow,material,mid,0
herb_vine_red,赤花藤,暗红藤蔓,部分行省会将其视为提神药材也有人说副作用不小,herb,vine,0.1,80,material;herb;alchemy;stimulant,gathering,alchemy,slow,rare,high,0
herb_leaf_fresh,清香叶,清香叶片,常被用来去腥或为料理增加清爽口感,herb,leaf,0.05,120,material;herb;cooking,gathering,cook,fast,material,mid,0
hunt_meat_beast_basic,兽肉块,处理肉块,烹饪后可以大幅恢复饱食度也可能带来短暂增益,hunt,meat,0.5,40,material;food;perishable;trade_raw,hunting,cook,fast,life_good,mid,0
hunt_bone_common,兽骨,清理兽骨,可磨成骨粉入药也可加工成简易工具与武器零件,hunt,bone,0.3,80,material;bone;craft;alchemy,hunting,craft;alchemy,none,material,low,0
textile_cocoon_wild,野蚕茧,粗糙蚕茧,可抽丝但品质较为普通,textile,cocoon_wild,0.05,120,material;textile;silk,gathering,weave,slow,material,mid,0
textile_cocoon_domestic,家蚕茧,洁白蚕茧,可抽出纤细且有光泽的丝线,textile,cocoon_domestic,0.05,120,material;textile;silk,husbandry,weave,slow,rare,mid,0
