id,sn,placeholder_name,fn_before,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,edible,edible_buff_id,usable,use_buff_id,fuel_points,cooking_ingredient,pharmacy_ingredient,info_module_set_id,fert_c,fert_n,harvest_item_id,seed_tier
seed_maize,玉米种子,小袋黄粒种,袋里金黄粒种，闻着潮土气,一季可播的玉米种，下田前挑饱满粒。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_maize,1
seed_rice,大米种子,白稻种粒,粒干手滑，好像能泡田,常规水稻种，播后灌浆收白米。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_rice,1
seed_rice_bomba,粳米种子,短粒稻种,粒短胖吸水快，好像能焖饭,短粒稻种，适合焖饭吸汁。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_rice_bomba,3
seed_rice_basmati,长粒香米种子,细长尖稻种,粒身细长淡香，好像能抓饭,香稻种，收成长粒分明米。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_rice_basmati,4
seed_rice_glutinous_round,圆糯米种子,圆白糯稻种,黏手糯稻种，好像能包粽,糯稻种，蒸后黏软做粽糕。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_rice_glutinous_round,3
seed_wheat,小麦种子,金黄麦种,带芒刺硬，好像能撒田,冬夏麦种，磨粉做面馍底子。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_wheat,1
seed_wheat_durum,硬质小麦种子,硬质麦种,粒硬玻璃心，好像做意面,杜兰系麦种，筋道面食用。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_wheat_durum,3
seed_euryale,芡实种子,鸡头米种,圆白小种，好像能池栽,芡实种，池沼栽植收鸡头米。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_euryale,4
seed_tomato,番茄种子,小袋番茄种,籽细灰褐，好像能育苗,番茄种，移栽后收红果。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_tomato,2
seed_tomato_green,绿番茄种子,青番茄种,籽粒细小，好像腌渍用,青番茄品种种，收硬果腌渍。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_tomato_green,2
seed_cucumber,黄瓜种子,扁片黄瓜种,籽扁白，好像能搭架,黄瓜种，架栽收脆瓜。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_cucumber,1
seed_sprout,豆芽种,绿豆发芽种,绿粒饱满，好像能催芽,发豆芽用种，湿布催芽快收。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_sprout,1
seed_potato,土豆种子,切块种薯,带芽眼薯块，好像能埋沟,种薯切块下种，收新土豆。,seed,farming,0.12,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_potato,1
seed_green_beans,扁豆种子,扁荚豆种,籽紫纹，好像能搭架,扁豆种，嫩荚快炒。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_green_beans,2
seed_garrofo,大白芸豆种子,大白豆种,粒大扁白，好像能炖汤,大白芸豆种，煮绵做浓汤。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_garrofo,2
seed_beans_white_haricot,白扁豆种子,扁白豆种,粒扁易酥，好像能熬粥,白扁豆种，配汤炖煮。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_beans_white_haricot,1
