经脉分类,经脉,穴位,效果
督脉,督脉,长强,"底气上限+10，后天筋骨+2"
督脉,督脉,腰俞,"底气上限+10，后天筋骨+2"
督脉,督脉,腰阳关,"底气上限+10，后天筋骨+2"
督脉,督脉,命门,"底气上限+10，后天筋骨+2"
督脉,督脉,悬枢,"底气上限+10，后天筋骨+2"
督脉,督脉,脊中,"底气上限+10，后天筋骨+2"
督脉,督脉,中枢,"底气上限+10，后天筋骨+2"
督脉,督脉,筋缩,"底气上限+10，后天柔韧+2"
督脉,督脉,至阳,"底气上限+10，后天柔韧+2"
督脉,督脉,灵台,"底气上限+10，后天柔韧+2"
督脉,督脉,神道,"底气上限+10，后天柔韧+2"
督脉,督脉,身柱,"底气上限+10，后天柔韧+2"
督脉,督脉,陶道,"底气上限+10，后天柔韧+2"
督脉,督脉,大椎,"底气上限+10，后天柔韧+2"
督脉,督脉,哑门,"底气上限+10，后天呼吸+2"
督脉,督脉,风府,"底气上限+10，后天呼吸+2"
督脉,督脉,脑户,"底气上限+10，后天呼吸+2"
督脉,督脉,强间,"底气上限+10，后天呼吸+2"
督脉,督脉,后顶,"底气上限+10，后天呼吸+2"
督脉,督脉,百会,"底气上限+10，后天呼吸+2"
督脉,督脉,前顶,"底气上限+10，后天呼吸+2"
督脉,督脉,囟会,"底气上限+10，后天身手+2"
督脉,督脉,上星,"底气上限+10，后天身手+2"
督脉,督脉,神庭,"底气上限+10，后天身手+2"
督脉,督脉,素髎,"底气上限+10，后天身手+2"
督脉,督脉,水沟,"底气上限+10，后天身手+2"
督脉,督脉,兑端,"底气上限+10，后天身手+2"
督脉,督脉,龈交,"底气上限+10，后天身手+2"
任脉,任脉,会阴,"底气上限+10，后天筋骨+2"
任脉,任脉,曲骨,"底气上限+10，后天筋骨+2"
任脉,任脉,中极,"底气上限+10，后天筋骨+2"
任脉,任脉,关元,"底气上限+10，后天筋骨+2"
任脉,任脉,石门,"底气上限+10，后天筋骨+2"
任脉,任脉,气海,"底气上限+10，后天筋骨+2"
任脉,任脉,阴交,"底气上限+10，后天柔韧+2"
任脉,任脉,神阙,"底气上限+10，后天柔韧+2"
任脉,任脉,水分,"底气上限+10，后天柔韧+2"
任脉,任脉,下脘,"底气上限+10，后天柔韧+2"
任脉,任脉,建里,"底气上限+10，后天柔韧+2"
任脉,任脉,中脘,"底气上限+10，后天柔韧+2"
任脉,任脉,上脘,"底气上限+10，后天呼吸+2"
任脉,任脉,巨阙,"底气上限+10，后天呼吸+2"
任脉,任脉,鸠尾,"底气上限+10，后天呼吸+2"
任脉,任脉,中庭,"底气上限+10，后天呼吸+2"
任脉,任脉,膻中,"底气上限+10，后天呼吸+2"
任脉,任脉,玉堂,"底气上限+10，后天呼吸+2"
任脉,任脉,紫宫,"底气上限+10，后天身手+2"
任脉,任脉,华盖,"底气上限+10，后天身手+2"
任脉,任脉,璇玑,"底气上限+10，后天身手+2"
任脉,任脉,天突,"底气上限+10，后天身手+2"
任脉,任脉,廉泉,"底气上限+10，后天身手+2"
任脉,任脉,承浆,"底气上限+10，后天身手+2"
十二正经-手太阴肺经,手太阴肺经,中府,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,云门,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,天府,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,侠白,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,尺泽,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,孔最,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,列缺,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,经渠,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,太渊,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,鱼际,"底气上限+10，后天筋骨+2"
十二正经-手太阴肺经,手太阴肺经,少商,"底气上限+10，后天筋骨+2"
十二正经-手阳明大肠经,手阳明大肠经,商阳,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,二间,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,三间,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,合谷,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,阳溪,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,偏历,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,温溜,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,下廉,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,上廉,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,手三里,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,曲池,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,肘髎,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,手五里,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,臂臑,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,肩髃,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,巨骨,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,天鼎,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,扶突,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,口禾髎,"底气上限+10，后天身手+2"
十二正经-手阳明大肠经,手阳明大肠经,迎香,"底气上限+10，后天身手+2"
十二正经-足阳明胃经,足阳明胃经,承泣,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,四白,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,巨髎,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,地仓,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,大迎,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,颊车,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,下关,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,头维,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,人迎,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,水突,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,气舍,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,缺盆,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,气户,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,库房,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,屋翳,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,膺窗,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,乳中,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,乳根,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,不容,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,承满,"底气上限+10，后天柔韧+2"
